Iteration,Training Loss,Validation Loss,Weights Norm
0,0.34427480494013935,0.34427696525620427,0.2361719298972697
1,0.30487532165468256,0.30487860736711986,0.30729082806953106
2,0.29141072282297037,0.2914151391613268,0.34631771090256874
3,0.2848246695524681,0.28483021409671644,0.3716975800129463
4,0.28079949440114793,0.28080615589137337,0.38977542801465104
5,0.27791597946573876,0.2779237418608299,0.403506100293619
6,0.2756105810865754,0.2756194260302993,0.41449495202956044
7,0.2736320773540563,0.27364198561242,0.42369771637798764
8,0.2718591699185723,0.27187012224104856,0.43171714970422564
9,0.27022952988429577,0.2702415075263205,0.43894760126453314
10,0.2687092736119377,0.26872225864539423,0.44565291192623296
11,0.2672788597218874,0.26729283520642294,0.452011693364948
12,0.26592622845163927,0.26594117851224663,0.4581452309555468
13,0.2646433368499636,0.26465924669121615,0.4641354732883505
14,0.263424360766328,0.26344121664460346,0.47003703763240656
15,0.26226474323265403,0.2622825324017229,0.47588543103808895
16,0.26116068342685167,0.26117939406796864,0.4817027855695547
17,0.2601088590242397,0.26012848016873047,0.48750191043479685
18,0.2591062736235859,0.25912679507352027,0.49328917752716583
19,0.2581501716574734,0.2581715839081908,0.49906658411341037
20,0.2572379898158042,0.2572602839826789,0.5048332278289381
21,0.2563673282169283,0.25639049596774766,0.5105863584134165
22,0.25553593223073967,0.25555996572433964,0.5163221230897442
23,0.2547416800290326,0.2547665718603331,0.5220360897100008
24,0.2539825732138458,0.25400831636509696,0.5277236087126802
25,0.253256729114992,0.2532833169128417,0.5333800584261665
26,0.25256237402099824,0.2525898000988798,0.5390010063054641
27,0.251897836969349,0.2519260952346433,0.5445823099716497
28,0.2512615439132072,0.25129062851863226,0.5501201755287389
29,0.2506520121804498,0.25068191749915075,0.5556111859267805
30,0.25006784518971437,0.25009856579357514,0.561052308671694
31,0.24950772741074778,0.24953925805148378,0.5664408896256555
32,0.2489704195654377,0.24900275515808645,0.5717746377586795
33,0.24845475406840606,0.24848788967687735,0.5770516043273985
34,0.24795963070555924,0.24799356152995325,0.5822701589415147
35,0.24748401254738797,0.24751873391283094,0.5874289642361021
36,0.24702692209199756,0.24706242943878146,0.5925269503276757
37,0.2465874376312219,0.24662372650606584,0.5975632898408435
38,0.24616468983189072,0.24620175588017004,0.6025373740111452
39,0.24575785852338788,0.24579569748220065,0.607448790169207
40,0.24536616968204084,0.24540477737400018,0.6122973007700299
41,0.24498889260255105,0.24502826493021052,0.6170828240330442
42,0.2446253372465687,0.24466547018739945,0.6218054161917455
43,0.24427485175857408,0.24431574136042827,0.6264652553075111
44,0.2439368201394161,0.24397846251641608,0.6310626265742142
45,0.2436106600681347,0.24365305139694016,0.6355979090237811
46,0.24329582086303528,0.24333895737944528,0.6400715635344474
47,0.24299178157336726,0.2430356595692201,0.6444841220406625
48,0.24269804919336666,0.24274266501370584,0.6488361778445476
49,0.24241415699084318,0.2424595070313217,0.6531283769322369
50,0.24213966294291697,0.24218574364741624,0.6573614102033836
51,0.24187414827193146,0.24192095613037243,0.6615360065279392
52,0.24161721607497744,0.24166474762130646,0.665652926550551
53,0.2413684900408654,0.24141674185119716,0.6697129571692555
54,0.2411276132487643,0.24117658193966784,0.6737169066213703
55,0.24089424704309326,0.24094392927000774,0.6776656001154489
56,0.24066806997960147,0.24071846243536937,0.6815598759538039
57,0.2404487768379023,0.24049987625141078,0.6854005820953603
58,0.24023607769604113,0.24028788083096067,0.6891885731134607
59,0.240029697062971,0.24008220071658365,0.6929247075077088
60,0.23982937306508606,0.2398825740671957,0.6966098453330062
61,0.23963485668322604,0.23968875189514263,0.7002448461126521
62,0.23944591103680443,0.23950049735039705,0.7038305670057219
63,0.23926231071194465,0.23931758504875691,0.7073678612019833
64,0.23908384113071918,0.23913980044114208,0.7108575765203401
65,0.2389102979587867,0.2389669392212837,0.7143005541892649
66,0.2387414865489073,0.23879880676928758,0.7176976277898864
67,0.23857722141798834,0.23863521762872414,0.721049622344408
68,0.23841732575547536,0.23847599501505962,0.7243573535342981
69,0.23826163096105168,0.2383209703533931,0.7276216270343234
70,0.23810997620975027,0.23816998284360139,0.7308432379499104
71,0.23796220804271045,0.23802287905112762,0.7340229703466321
72,0.23781817998193439,0.2378795125217658,0.737161596861761
73,0.23767775216750814,0.2377397434189083,0.7402598783888718
74,0.23754079101585943,0.23760343818182653,0.7433185638274089
75,0.23740716889771765,0.23747046920365372,0.7463383898899641
76,0.23727676383453558,0.23734071452782596,0.7493200809607633
77,0.2371494592122132,0.2372140575618241,0.7522643489995235
78,0.23702514351104362,0.2370903868071365,0.7551718934854554
79,0.2369037100508727,0.23696959560443337,0.7580434013967141
80,0.2367850567505317,0.23685158189301317,0.7608795472210952
81,0.23666908590066488,0.23673624798364262,0.7636809929942003
82,0.236555703949132,0.23662350034397028,0.766448388361696
83,0.23644482129821992,0.2365132493957483,0.7691823706626284
84,0.2363363521129483,0.236405409323147,0.7718835650310842
85,0.23623021413979992,0.23629989789149372,0.7745525845137611
86,0.23612632853525195,0.23619663627581095,0.7771900302012711
87,0.23602461970352268,0.23609554889856965,0.7797964913712253
88,0.23592501514298755,0.23599656327611118,0.7823725456413572
89,0.23582744530075356,0.23589960987322653,0.7849187591311226
90,0.23573184343491255,0.23580462196541388,0.7874356866303855
91,0.2356381454840255,0.2357115355083672,0.789923871773941
92,0.23554628994341892,0.23562028901427534,0.7923838472207686
93,0.2354562177478988,0.23553082343453924,0.7948161348370271
94,0.23536787216051488,0.2354430820485381,0.7972212458819063
95,0.23528119866702912,0.23535701035810005,0.7995996811955579
96,0.23519614487576454,0.23527255598735267,0.8019519313884056
97,0.23511266042253115,0.23518966858764942,0.8042784770312232
98,0.23503069688034267,0.23510829974728825,0.806579788845433
99,0.23495020767365798,0.2350284029057527,0.8088563278931453
100,0.23487114799689457,0.23494993327222638,0.8111085457665131
101,0.2347934747369785,0.23487284774814277,0.8133368847760369
102,0.2347171463997097,0.23479710485355038,0.8155417781374854
103,0.23464212303973273,0.23472266465708375,0.817723650157158
104,0.2345683661939187,0.23464948870934427,0.8198829164152359
105,0.2344958388179723,0.23457753997950773,0.8220199839470161
106,0.23442450522609243,0.23450678279498338,0.8241352514218405
107,0.23435433103352105,0.23443718278396308,0.8262291093195687
108,0.23428528310182867,0.2343687068207055,0.8283019401044648
109,0.23421732948679055,0.23430132297341202,0.8303541183963861
110,0.2341504393887172,0.2342350004545565,0.8323860111391858
111,0.23408458310511224,0.23416970957354222,0.8343979777662597
112,0.2340197319855343,0.23410542169156384,0.8363903703631761
113,0.23395585838855104,0.23404210917856033,0.8383635338273514
114,0.23389293564067587,0.2339797453721515,0.8403178060247332
115,0.23383093799718724,0.23391830453845702,0.8422535179434835
116,0.2337698406047335,0.23385776183470094,0.8441709938446375
117,0.23370961946563318,0.23379809327351206,0.8460705514097502
118,0.23365025140378584,0.233739275688835,0.8479525018855283
119,0.2335917140321119,0.23368128670337004,0.8498171502254636
120,0.23353398572144574,0.23362410469746683,0.8516647952284883
121,0.2334770455708095,0.23356770877939917,0.8534957296746736
122,0.2334208733790001,0.23351207875695246,0.8553102404580006
123,0.2333654496174244,0.23345719511026042,0.8571086087162387
124,0.2333107554041217,0.2334030389658288,0.8588911099579629
125,0.23325677247891594,0.23334959207168948,0.8606580141867534
126,0.23320348317964318,0.23329683677362972,0.8624095860226129
127,0.2331508704194023,0.23324475599244496,0.8641460848206511
128,0.2330989176647799,0.23319333320216665,0.8658677647870767
129,0.2330476089150033,0.23314255240921797,0.8675748750925436
130,0.2329969286819779,0.23309239813245405,0.8692676599829016
131,0.23294686197116646,0.23304285538404504,0.8709463588873948
132,0.2328973942632711,0.23299390965116187,0.8726112065243639
133,0.23284851149668126,0.23294554687842836,0.8742624330044908
134,0.2328002000506512,0.2328977534511029,0.8759002639316478
135,0.2327524467291732,0.23285051617895683,0.8775249205013905
136,0.23270523874551557,0.23280382228081745,0.8791366195971492
137,0.232658563707394,0.23275765936974446,0.8807355738841677
138,0.23261240960274746,0.23271201543881254,0.8823219919012384
139,0.23256676478609234,0.23266687884747048,0.8838960781502798
140,0.23252161796542709,0.23262223830845336,0.8854580331838111
141,0.23247695818966413,0.23257808287522047,0.8870080536903652
142,0.23243277483656488,0.23253440192989747,0.8885463325778906
143,0.23238905760115486,0.23249118517169948,0.8900730590551895
144,0.23234579648459924,0.23244842260581372,0.8915884187114361
145,0.23230298178351685,0.23240610453272156,0.8930925935938221
146,0.23226060407971474,0.23236422153794156,0.8945857622833724
147,0.23221865423032395,0.23232276448217343,0.8960680999689762
148,0.23217712335831994,0.23228172449182746,0.8975397785196761
149,0.2321360028434102,0.23224109294992096,0.8990009665552575
150,0.23209528431327414,0.23220086148732716,0.9004518295151775
151,0.2320549596351392,0.23216102197436098,0.9018925297258784
152,0.23201502090767967,0.23212156651268714,0.9033232264665214
153,0.23197546045322417,0.2320824874275374,0.9047440760331803
154,0.23193627081025853,0.2320437772602233,0.9061552318015357
155,0.23189744472621232,0.23200542876093255,0.9075568442881023
156,0.2318589751505161,0.2319674348817963,0.9089490612100299
157,0.23182085522791915,0.23192978877021692,0.9103320275435124
158,0.23178307829205647,0.23189248376244528,0.9117058855808373
159,0.23174563785925445,0.23185551337739616,0.9130707749861123
160,0.23170852762256558,0.2318188713106936,0.9144268328497013
161,0.2316717414460232,0.23178255142893525,0.9157741937414011
162,0.23163527335910666,0.23174654776416811,0.9171129897623912
163,0.231599117551409,0.23171085450856554,0.9184433505959877
164,0.2315632683674981,0.23167546600929878,0.91976540355723
165,0.2315277203019647,0.23164037676359447,0.9210792736413298
166,0.23149246799464845,0.2316055814139702,0.9223850835710131
167,0.23145750622603592,0.23157107474364214,0.923682953842779
168,0.23142282991282337,0.23153685167209673,0.9249730027721055
169,0.2313884341036375,0.2315029072508207,0.9262553465376271
170,0.2313543139749083,0.23146923665918245,0.9275300992243108
171,0.231320464826888,0.23143583520045924,0.9287973728656546
172,0.23128688207981002,0.23140269829800494,0.9300572774849325
173,0.23125356127018284,0.23136982149155133,0.9313099211355123
174,0.23122049804721376,0.2313372004336393,0.9325554099402661
175,0.2311876881693567,0.23130483088617418,0.9337938481300967
176,0.23115512750097986,0.2312727087171002,0.9350253380816037
177,0.23112281200914903,0.2312408298971901,0.936249980353909
178,0.23109073776052105,0.2312091904969448,0.9374678737246628
179,0.231058900918344,0.23117778668359934,0.9386791152252492
180,0.23102729773955985,0.231146614718231,0.9398838001752136
181,0.23099592457200596,0.23111567095296542,0.9410820222159295
182,0.2309647778517113,0.23108495182827724,0.9422738733435223
183,0.2309338541002836,0.2310544538703819,0.9434594439410702
184,0.2309031499223853,0.23102417368871436,0.9446388228100998
185,0.23087266200329318,0.2309941079734929,0.9458120972013914
186,0.2308423871065402,0.23096425349336297,0.9469793528451136
187,0.23081232207163552,0.23093460709311966,0.9481406739803011
188,0.23078246381185993,0.23090516569150576,0.9492961433836946
189,0.23075280931213463,0.23087592627908107,0.9504458423979528
190,0.2307233556269594,0.23084688591616218,0.9515898509592595
191,0.23069409987841913,0.23081804173082965,0.9527282476243325
192,0.2306650392542548,0.23078939091699918,0.9538611095968538
193,0.23063617100599765,0.2307609307325555,0.9549885127533331
194,0.23060749244716372,0.23073265849754682,0.9561105316684188
195,0.23057900095150674,0.23070457159243613,0.9572272396396679
196,0.23055069395132702,0.23067666745640944,0.9583387087117906
197,0.23052256893583506,0.2306489435857375,0.959445009700379
198,0.23049462344956667,0.23062139753218913,0.960546212215136
199,0.23046685509084966,0.23059402690149514,0.9616423846826102
